chapter,verse,sanskrit,hindi,english,transliteration
1,11,अयनेषु च सर्वेषु यथाभागमवस्थिताः |भीष्ममेवाभिरक्षन्तु भवन्तः सर्व एव हि |,इसलिए सब मोर्चों पर अपनी-अपनी जगह स्थित रहते हुए आप लोग सभी निःसन्देह भीष्म पितामह की ही सब ओर से रक्षा करें |,"Therefore, stationed in your respective positions, all of you should surely protectBhishma on all sides.",ayaneṣu ca sarveṣu yathābhāgamavasthitāḥ .bhīṣmamevābhirakṣantu bhavantaḥ sarva eva hi 
1,12,तस्य सञ्जनयन्हर्षं कुरुवृद्धः पितामहः |सिंहनादं विनद्योच्चैः शङ्खं दध्मौ प्रतापवान् |,कौरवों में वृद्ध बड़े प्रतापी पितामह भीष्म ने उस दुर्योधन के हृदयमें हर्ष उत्पन्न करते हुए उच्च स्वर से सिंह की दहाड़ के समान गरजकर शंख बजाया |,"The grand old man of the Kaurava race, their glorious grand-uncle Bhishma, cheering up Duryodhana, roared terribly like a lion and blew his conch.",tasya sañjanayanharṣaṃ kuruvṛddhaḥ pitāmahaḥ .siṃhanādaṃ vinadyoccaiḥ śaṅkhaṃ dadhmau pratāpavān 
1,13,ततः शङ्खाश्च भेर्यश्च पणवानकगोमुखाः |सहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत् |,"इसके पश्चात शंख और नगारे तथा ढोल, मृदंग और नरसिंधे आदि बाजे एक साथ ही बज उठे। उनका वह शब्द बड़ा भयंकर हुआ |","Then conches kettledrums tabors, drums and trumpets suddenly blared forth and the noise was tumultuous.",tataḥ śaṅkhāśca bheryaśca paṇavānakagomukhāḥ .sahasaivābhyahanyanta sa śabdastumulo.abhavat 
1,14,ततः श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितौ |माधवः पाण्डवश्चैव दिव्यौ शङ्खौ प्रदध्मतुः |,इसके अनन्तर सफेद घोड़ों से युक्त उत्तम रथ में बैठे हुए श्रीकृष्ण महाराज और अर्जुन ने भी अलौकिक शंख बजाये |,"Then seated in a glorious chariot drawn by white horses, Shree Krishna as well as Arjuna blew their celestial conches.",tataḥ śvetairhayairyukte mahati syandane sthitau .mādhavaḥ pāṇḍavaścaiva divyau śaṅkhau pradadhmatuḥ 
1,15,पाञ्चजन्यं हृषीकेशो देवदत्तं धनञ्जयः |पौण्ड्रं दध्मौ महाशङ्खं भीमकर्मा वृकोदरः |,"श्रीकृष्ण महाराज ने पाञ्जन्य नामक, अर्जुन ने देवदत्त नामक और भयानक कर्म वाले भीमसेन ने पौण्ड्र नामक महाशंख बजाया |","Shree Krishna blew His Conch named Panchajanya; Arjuna, his own called Devadatta; while Bhima of terrible deeds blew his mighty conch Paundra.",pāñcajanyaṃ hṛṣīkeśo devadattaṃ dhanañjayaḥ .pauṇḍraṃ dadhmau mahāśaṅkhaṃ bhīmakarmā vṛkodaraḥ 
1,16,अनन्तविजयं राजा कुन्तीपुत्रो युधिष्ठिरः |नकुलः सहदेवश्च सुघोषमणिपुष्पकौ |,कुंती पुत्र राजा युधिष्ठिर ने अनन्त विजय नामक और नकूल तथा सहदेव ने सुघोष और मणिपुष्पक नामक शंख बजाये |,"King Yudhisthira, son of Kunti, blew his conch Anantavijaya; while Nakula and Sahadeva blew theirs, known as Sughosa and Manipuspaka respectively.",anantavijayaṃ rājā kuntīputro yudhiṣṭhiraḥ .nakulaḥ sahadevaśca sughoṣamaṇipuṣpakau 
1,17,काश्यश्च परमेष्वासः शिखण्डी च महारथः |धृष्टद्युम्नो विराटश्च सात्यकिश्चापराजितः |,"श्रेष्ठ धनुष वाले काशिराज और महारथी शिखण्डी एवं धृष्टद्युम्न तथा राजा विराट और अजेय सात्यकि,","And the excellent archer, the King of Kasi and Sikhandi the Maharathi,",kāśyaśca parameṣvāsaḥ śikhaṇḍī ca mahārathaḥ .dhṛṣṭadyumno virāṭaśca sātyakiścāparājitaḥ 
1,18,द्रुपदो द्रौपदेयाश्च सर्वशः पृथिवीपते |सौभद्रश्च महाबाहुः शङ्खान्दध्मुः पृथक्पृथक् |,"राजा द्रुपद एवं द्रौपदी के पाँचों पुत्र और बड़ी भुजावाले सुभद्रा पुत्र अभिमन्यु—इन सभी ने, हे राजन्! सब और से अलग-अलग शंख बजाये |","and the sons of Drupada and Draupadi, and the mighty-armed Subhadra's son Abhimanyu—all of them, O King, blew their respective conches separately.",drupado draupadeyāśca sarvaśaḥ pṛthivīpate .saubhadraśca mahābāhuḥ śaṅkhāndadhmuḥ pṛthakpṛthak 
1,19,स घोषो धार्तराष्ट्राणां हृदयानि व्यदारयत् |नभश्च पृथिवीं चैव तुमुलोऽभ्यनुनादयन् (or लोव्यनु) |,और उस भयानक शब्द ने आकाश और पृथ्वी को भी गूँजाते हुए धार्तराष्ट्रों के यानी आपके पक्ष वालों के हृदय विदीर्ण कर दिये |,"And the terrible sound, echoing through heaven and earth, rent the hearts of Dhritarashtra’s sons.",sa ghoṣo dhārtarāṣṭrāṇāṃ hṛdayāni vyadārayat .nabhaśca pṛthivīṃ caiva tumulo.abhyanunādayan (lo vyanu)
1,20,अथ व्यवस्थितान्दृष्ट्वा धार्तराष्ट्रान् कपिध्वजः |प्रवृत्ते शस्त्रसम्पाते धनुरुद्यम्य पाण्डवः |हृषीकेशं तदा वाक्यमिदमाह महीपते |,"अथ व्यवस्थित धार्तराष्ट्रों को कपिध्वज (अर्जुन) ने देखा, जब वे शस्त्रों से सुसज्जित हो गए, तब धनुष उठाकर पाण्डव ने युद्ध की तैयारी की। हे राजन् ! इसके बाद कपिध्वज अर्जुन ने मोर्चा बाँधकर डटे हुए धृतराष्ट्र-सम्बन्धियों को देखकर, उस शत्रु चलने की तैयारी के समय धनुष उठाकर हृषीकेश श्रीकृष्ण महाराज से यह वचन कहा—हे अच्युत ! मेरे रथ को दोनों सेनाओं के बीच में खड़ा कीजिये |","Then, seeing the arranged armies of the sons of Dhritarashtra, the one with the banner of Hanumantook up his bow, ready for battle. Now, O lord of the earth, seeing your sons arrayed against him, and when missiles were ready to be hurled, Arjuna, son of Pandu, took up his bow and then addressed the following words to Shree Krishna; Krishna, place my chariot between the two armies.",atha vyavasthitāndṛṣṭvā dhārtarāṣṭrān kapidhvajaḥ .pravṛtte śastrasampāte dhanurudyamya pāṇḍavaḥ 
1,21,अर्जुन उवाच |सेनयोरुभयोर्मध्ये रथं स्थापय मेऽच्युत |,"तब हे पृथिवीपति (कृष्ण), हृषीकेश (कृष्ण) ने कहा, हे अच्युत, सेनाओं के मध्य में मेरा रथ स्थापित करो। और जब तक कि मैं युद्ध क्षेत्र में डटे हुए युद्ध के अभिलाषी इन विपक्षी योद्धाओं को भली प्रकार देख लूँ कि इस युद्ध रूप व्यापार में मुझे किन-किन के साथ युद्ध करना योग्य है, तब तक उसे खड़ा रखिये |","Then, O King, Hrishikeshasaid these words: Place my chariot in the midst of the armies, O Achyuta. And keep it there till I have carefully observed these warriors drawn up for battle, and have seen with whom I have to engage in this fight.",hṛṣīkeśaṃ tadā vākyamidamāha mahīpate .arjuna uvāca .senayorubhayormadhye rathaṃ sthāpaya me.acyuta 
1,22,यावदेतान्निरीक्षेऽहं योद्धुकामानवस्थितान् |कैर्मया सह योद्धव्यमस्मिन् रणसमुद्यमे |,"और जब तक कि मैं युद्ध क्षेत्र में डटे हुए युद्ध के अभिलाषी इन विपक्षी योद्धाओं को भली प्रकार देख लूँ कि इस युद्ध रूप व्यापार में मुझे किन-किन के साथ युद्ध करना योग्य है, तब तक उसे खड़ा रखिये |","And keep it there till I have carefully observed these warriors drawn up for battle, and have seen with whom I have to engage in this fight.",yāvadetānnirikṣe.ahaṃ yoddhukāmānavasthitān .kairmayā saha yoddhavyamasmin raṇasamudyame 
1,23,योत्स्यमानानवेक्षेऽहं य एतेऽत्र समागताः |धार्तराष्ट्रस्य दुर्बुद्धेर्युद्धे प्रियचिकीर्षवः |,"दुर्बुद्धि दुर्योधन का युद्ध में हित चाहने वाले जो-जो ये राजा लोग इस सेना में आये हैं, इन युद्ध करने वालों को मैं देखूँगा |","I shall scan the well-wishers in this war of evil-minded Duryodhana, whoever have assembled on this side and are ready for the fight.",yotsyamānānavekṣe.ahaṃ ya ete.atra samāgatāḥ .dhārtarāṣṭrasya durbuddheryuddhe priyacikīrṣavaḥ 
1,24,सञ्जय उवाच |एवमुक्तो हृषीकेशो गुडाकेशेन भारत |सेनयोरुभयोर्मध्ये स्थापयित्वा रथोत्तमम् |,सज्जय ने कहा—हे धृतराष्ट्र! अर्जुन द्वारा इस प्रकार कहे हुए महाराज श्रीकृष्ण चन्द्र ने दोनों सेनाओं के बीच में भीष्म और द्रोणाचार्य के सामने तथा सम्पूर्ण राजाओं के सामने उत्तम रथ को खड़ा करके इस प्रकार कहा कि हे पार्थ! युद्ध के लिये जुटे हुए इन कौरवों को देख |,"Thus addressed, Hrishikesha, the son of Gudakesha, stationed the best chariot in the midst of the armies, sounding the war-cry.",sañjaya uvāca .evamukto hṛṣīkeśo guḍākeśena bhārata .senayorubhayormadhye sthāpayitvā rathottamam 
1,25,भीष्मद्रोणप्रमुखतः सर्वेषां च महीक्षिताम् |उवाच पार्थ पश्यैतान्समवेतान्कुरूनिति |,भीष्म और द्रोणाचार्य के प्रधान होकर और अन्य सब राजाओं के सामने भगवान श्रीकृष्ण ने कहा— हे पार्थ! देख इन एकत्र हुए हुए कौरवों को।,"At the head of all the kings, led by Bhishma and Drona, Arjuna, O son of Kunti, behold these Kurus gathered together",bhīṣmadroṇapramukhataḥ sarveṣāṃ ca mahīkṣitām .uvāca pārtha paśyaitānsamavetānkurūniti 
1,26,तत्रापश्यत्स्थितान्पार्थः पितॄनथ पितामहान् |आचार्यान्मातुलान्भ्रातॄन्पुत्रान्पौत्रान्सखींस्तथा |,"इसके बाद पृथापुत्र अर्जुन ने उन दोनों ही सेनाओं में स्थित ताऊ-चाचों को, दादों परदादों को, गुरुओं को, मामाओं को, भाइयों को, पुत्रों को, पौत्रों को तथा मित्रों को, ससुरों को और सुहृदों को भी देखा ।। २६ और २७वें का पूर्वार्ध ।।","Now Arjuna saw stationed there in both the armies his uncles, grand-uncles and teachers, even great grand-uncles, maternal uncles, brothers and cousins, sons and nephews, and grand-nephews, even so friends, fathers-in-law and well-wishers as well.",tatrāpaśyatsthitānpārthaḥ pitṝnatha pitāmahān .ācāryānmātulānbhrātṛnputrānpautrānsakhīṃstathā 
1,27,श्वशुरान्सुहृदश्चैव सेनयोरुभयोरपि |तान्समीक्ष्य स कौन्तेयः सर्वान्बन्धूनवस्थितान् |,उन उपस्थित सम्पूर्ण बन्धुओं को देखकर वह कुत्तीपुत्र अर्जुन अत्यन्त करुणा से युक्त होकर शोक करते हुए यह बचन ने कहा ।। २७वेंका उत्तरार्ध और २८वेंका पूर्वार्ध ।।,"Seeing all those relations present there, Arjuna was filled with deep compassion, and uttered these words in sadness..",śvaśurānsuhṛdaścaiva senayorubhayorapi .tānsamīkṣya sa kaunteyaḥ sarvānbandhūnavasthitān 
1,29,सीदन्ति मम गात्राणि मुखं च परिशुष्यति |वेपथुश्च शरीरे मे रोमहर्षश्च जायते |,मेरा मुख सूखा जा रहा है तथा मेरे शरीर में कंप एवं रोमांच हो रहा है।,"My mouth is drying up, my body shivers, and my hair stands on end.",sīdanti mama gātrāṇi mukhaṃ ca pariśuṣyati .vepathuśca śarīre me romaharṣaśca jāyate 
1,28,कृपया परयाविष्टो विषीदन्निदमब्रवीत् |अर्जुन उवाच |दृष्ट्वेमं स्वजनं कृष्ण युयुत्सुं समुपस्थितम् |,अर्जुन ने कहा—हे कृष्ण ! युद्ध क्षेत्र में डटे हुए युद्ध के अभिलाषी इस स्वजन समुदाय को देखकर मेरे अंग शिथिल हुए जा रहे हैं और मुख सूखा जा रहा है तथा मेरे शरीर में कम्प एवं रोमाञ्च हो रहा है ।। २८वेंका उत्तरार्ध और २६ ।।,"Arjuna said—O Krishna! Seeing my own kinsmen eager to fight, my limbs are weakening, my mouth is drying up, and my body is trembling with shivers and goosebumps.",kṛpayā parayāviṣṭo viṣīdannidamabravīt .arjuna uvāca .dṛṣṭvemaṃ svajanaṃ kṛṣṇa yuyutsuṃ samupasthitam 
1,30,गाण्डीवं स्रंसते हस्तात्त्वक्चैव परिदह्यते |न च शक्नोम्यवस्थातुं भ्रमतीव च मे मनः |,"हाथ से गाण्डीव धनुष गिर रहा है और त्वचा भी बहुत जल रही है तथा मेरा मन भ्रमित-सा हो रहा है, इसलिए मैं खड़ा रहने को भी समर्थ नहीं हूँ |","The bow, Gandiva, slips from my hand and my skin too burns all over; my brain is whirling, as it were, and I can stand no longer.",gāṇḍīvaṃ sraṃsate hastāttvakcaiva paridahyate .na ca śaknomyavasthātuṃ bhramatīva ca me manaḥ 
1,31,निमित्तानि च पश्यामि विपरीतानि केशव |न च श्रेयोऽनुपश्यामि हत्वा स्वजनमाहवे |,हे केशव! मैं लक्ष्णों को भी विपरीत ही देख रहा हूँ तथा युद्ध में स्वजन-समुदाय को मारकर कल्याण भी नहीं देखता |,"And, Keshava, I see such omens of evil, nor do I see any good in killing my kinsmen in battle",nimittāni ca paśyāmi viparītāni keśava .na ca śreyo.anupaśyāmi hatvā svajanamāhave 
1,32,न काङ्क्षे विजयं कृष्ण न च राज्यं सुखानि च |किं नो राज्येन गोविन्द किं भोगैर्जीवितेन वा |,हे कृष्ण ! मैं न तो विजय चाहता हूँ और न राज्य तथा सुखों को ही । हे गोविन्द ! हमें ऐसे राज्य से क्या प्रयोजन है अथवा ऐसे भोगों से और जीवन से भी क्या लाभ है ? |,"Krishna, I do not covet victory, nor kingdom nor pleasures. Govinda, of what use will kingdom, or luxuries, or even life be to us!",na kāṅkṣe vijayaṃ kṛṣṇa na ca rājyaṃ sukhāni ca .kiṃ no rājyena govinda kiṃ bhogairjīvitena vā 
1,33,येषामर्थे काङ्क्षितं नो राज्यं भोगाः सुखानि च |त इमेऽवस्थिता युद्धे प्राणांस्त्यक्त्वा धनानि च |,"हमें जिनके लिये राज्य, भोग और सुखादि अभिष्ट हैं; वे ही ये सब धन और जीवन की आशा को त्याग कर युद्ध में खड़े हैं|","Those very persons for whose sake we covet the throne, luxuries and pleasures—are here arrayed on the battlefield, having renounced wealth and even life itself.",yeṣāmarthe kāṅkṣitaṃ no rājyaṃ bhogāḥ sukhāni ca .ta ime.avasthitā yuddhe prāṇāṃstyaktvā dhanāni ca 
1,34,आचार्याः पितरः पुत्रास्तथैव च पितामहाः |मातुलाः श्वशुराः पौत्राः श्यालाः सम्बन्धिनस्तथा |,"गुरुजन, ताऊ-चाचा, लड़के और उसी प्रकार दादा, मामा, ससुर, पौत्र, साले तथा और भी सम्बन्धी लोग हैं|","Teachers, fathers, sons, grandfathers, maternal uncles, fathers-in-law, grandsons, brothers-in-law and other relatives are also present here in battle.",ācāryāḥ pitaraḥ putrāstathaiva ca pitāmahāḥ .mātulāḥ śvaśurāḥ pautrāḥ śyālāḥ sambandhinastathā 
1,35,एतान्न हन्तुमिच्छामि घ्नतोऽपि मधुसूदन |अपि त्रैलोक्यराज्यस्य हेतोः किं नु महीकृते |,हे मधुसूदन! मुझे मारने पर भी अथवा तीनों लोकों के राज्य के लिये भी मैं इन सबको मारना नहीं चाहता; फिर पृथ्वी के लिये तो कहना ही क्या है?|,"O Slayer of Madhu, I do not want to kill them, though they should slay me, even for the throne of the three worlds; how much the less from earthly lordship!",etānna hantumicchāmi ghnato.api madhusūdana .api trailokyarājyasya hetoḥ kiṃ nu mahīkṛte 
1,36,निहत्य धार्तराष्ट्रान्नः का प्रीतिः स्याज्जनार्दन |पापमेवाश्रयेदस्मान्हत्वैतानाततायिनः |,हे जनार्दन! धृतराष्ट्र के पुत्रों को मारकर हमें क्या प्रसन्नता होगी? इन आततायियों को मारकर तो हमें पाप ही लगेगा|,"Krishna, how can we hope to be happy slaying the sons of Dhrtarastra; killing these desperadoes sin will surely take hold of us.",nihatya dhārtarāṣṭrānnaḥ kā prītiḥ syājjanārdana .pāpamevāśrayedasmānhatvaitānātatāyinaḥ 
1,37,तस्मान्नार्हा वयं हन्तुं धार्तराष्ट्रान्स्वबान्धवान् |स्वजनं हि कथं हत्वा सुखिनः स्याम माधव |,अतएव हे माधव! अपने ही बान्धव धृतराष्ट्र के पुत्रों को मारने के लिये हम योग्य नहीं हैं; क्योंकि अपने ही कुटुम्ब को मारकर हम कैसे सुखी होंगे?|,"Therefore, Krishna, it does not behove us to kill our relations, the sons of Dhritarashtra. For how can we be happy after killing our own kinsmen?",tasmānnārhā vayaṃ hantuṃ dhārtarāṣṭrānsvabāndhavān .svajanaṃ hi kathaṃ hatvā sukhinaḥ syāma mādhava 
1,38,यद्यप्येते न पश्यन्ति लोभोपहतचेतसः |कुलक्षयकृतं दोषं मित्रद्रोहे च पातकम् |,"यद्यपि लोभ से भ्रष्टचित हुए ये लोग कुल के नाश से उत्पन्न दोष को और मित्रों से विरोध करने में पाप को नहीं देखते,","Even if these people, with minds blinded by greed; perceive no evil in destroying their own race",yadyapyete na paśyanti lobhopahatacetasaḥ .kulakṣayakṛtaṃ doṣaṃ mitradrohe ca pātakam 
1,39,कथं न ज्ञेयमस्माभिः पापादस्मान्निवर्तितुम् |कुलक्षयकृतं दोषं प्रपश्यद्भिर्जनार्दन |,तो भी हे जनार्दन! कुल के नाश से उत्पन्न दोष को जानने वाले हम लोगों को इस पाप से हटने के लिये क्यों नहीं विचार करना चाहिए।,"and no sin in treason to friends, why should not we, O Krishna, who see clearly the sin accruing from the destruction of one’s family think of turning away from this crime.",kathaṃ na jñeyamasmābhiḥ pāpādasmānnivartitum .kulakṣayakṛtaṃ doṣaṃ prapaśyadbhirjanārdana 
1,40,कुलक्षये प्रणश्यन्ति कुलधर्माः सनातनाः |धर्मे नष्टे कुलं कृत्स्नमधर्मोऽभिभवत्युत |,"कुल के नाश से सनातन कुलधर्म नष्ट हो जाते हैं, धर्म के नाश हो जाने पर सम्पूर्ण कुल में पाप भी बहुत फैल जाता है |","Age-long family traditions disappear with the destruction of a family; and virtue having been lost, vice takes hold of the entire race.",kulakṣaye praṇaśyanti kuladharmāḥ sanātanāḥ .dharme naṣṭe kulaṃ kṛtsnamadharmo.abhibhavatyuta 
1,41,अधर्माभिभवात्कृष्ण प्रदुष्यन्ति कुलस्त्रियः |स्त्रीषु दुष्टासु वार्ष्णेय जायते वर्णसङ्करः |,हे कृष्ण! पाप के अधिक बढ़ जाने से कुल की स्त्रियाँ अत्यन्त दूषित हो जाती हैं और हे वार्ष्णेय! स्त्रियों के दूषित हो जाने पर वर्णसंकर उत्पन्न होता है |,"With the preponderance of vice, Krishna, the women of the family become corrupt; and with the corruption of women, O descendant of Vrsni, there ensues an intermixture of castes.",adharmābhibhavātkṛṣṇa praduṣyanti kulastriyaḥ .strīṣu duṣṭāsu vārṣṇeya jāyate varṇasaṅkaraḥ 
1,42,सङ्करो नरकायैव कुलघ्नानां कुलस्य च |पतन्ति पितरो ह्येषां लुप्तपिण्डोदकक्रियाः |,वर्णसंकर कुलघातियों को और कुल को नरक में ले जाने के लिये ही होता है। लुप्त हुई पिण्ड और जल की क्रिया वाले अर्थात् श्रद्धा और तर्पण से वंचित इनके पितर लोग भी अधोगति को प्राप्त होते हैं |,Admixture of blood damns the destroyers of the race as well as the race itself. Deprived of the offerings of rice and waterthe manes of their race also fall.,saṅkaro narakāyaiva kulaghnānāṃ kulasya ca .patanti pitaro hyeṣāṃ luptapiṇḍodakakriyāḥ 
1,43,दोषैरेतैः कुलघ्नानां वर्णसङ्करकारकैः |उत्साद्यन्ते जातिधर्माः कुलधर्माश्च शाश्वताः |,इन वर्णसंकरकारक दोषों से कुलघातियों के सनातन कुल-धर्म और जाति-धर्म नष्ट हो जाते हैं |,"Through these evils bringing about an intermixture of castes, the age-long caste- traditions and family customs of the killers of kinsmen get extinct.",doṣairetaiḥ kulaghnānāṃ varṇasaṅkarakārakaiḥ .utsādyante jātidharmāḥ kuladharmāśca śāśvatāḥ 
1,44,उत्सन्नकुलधर्माणां मनुष्याणां जनार्दन |नरके नियतं वासो भवतीत्यनुशुश्रुम (or नरकेऽनियतं) |,"हे जनार्दन ! जिनका कुल-धर्म नष्ट हो गया है, ऐसे मनुष्यों का अनिश्चित काल तक नरक में वास होता है, ऐसा हम सुनते आये हैं |","Krishna, we hear that men who have lost their family traditions dwell in hell for an indefinite period of time.",utsannakuladharmāṇāṃ manuṣyāṇāṃ janārdana .narake niyataṃ vāso bhavatītyanuśuśruma 
1,45,अहो बत महत्पापं कर्तुं व्यवसिता वयम् |यद्राज्यसुखलोभेन हन्तुं स्वजनमुद्यताः |,"हा ! शोक ! हम लोग बुद्धिमान होकर भी महान् पाप करने को तैयार हो गये हैं, जो राज्य और सुख के लोभ से स्वजनों को मारने के लिये उद्यत हो गये हैं |",Oh what a pity! Though possessed of intelligence we have set our mind on the commission of a great sin in that due to lust,aho bata mahatpāpaṃ kartuṃ vyavasitā vayam .yadrājyasukhalobhena hantuṃ svajanamudyatāḥ 
1,46,यदि मामप्रतीकारमशस्त्रं शस्त्रपाणयः |धार्तराष्ट्रा रणे हन्युस्तन्मे क्षेमतरं भवेत् |,यदि मुझ शस्त्ररहित एवं सामना न करने वाले को शस्त्र हाथ में लिये हुए धृतराष्ट्र के पुत्र रण में मार डालें तो वह मारना भी मेरे लिये अधिक कल्याणकारक होगा |,"It would be better for me if the sons of Dhritarashtra, armed with weapons, killed me in battle while I was unarmed and unresisting.",yadi māmapratīkāramaśastraṃ śastrapāṇayaḥ .dhārtarāṣṭrā raṇe hanyustanme kṣemataraṃ bhavet 
